Gene	SRA	TMP
BSU_08660	SRR23440068	97429.63
BSU_09230	SRR23440068	27123.59
BSU_01910	SRR23440069	21970.88
BSU_11740	SRR23440068	19919.57
BSU_22200	SRR23440068	19706.77
BSU_11760	SRR23440068	19649.46
BSU_11750	SRR23440068	18061.45
BSU_11139	SRR23440068	13825.75
BSU_28410	SRR23440068	13133.89
BSU_27840	SRR23440068	12715.11
